Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-15,08:15:00,0.9,34.8125,0.09375,0.1875,26.2016091928
2024-08-15,08:30:00,0.9,36.5625,0.21875,0.09375,26.3404118662
2024-08-15,08:45:00,0.9,40.625,0.1875,0.21875,26.7764218569
2024-08-15,09:00:00,0.9,36.375,0.09375,0.1875,27.3964942023
2024-08-15,09:15:00,0.9,40.125,0.21875,0.09375,27.8341652162
2024-08-15,09:30:00,0.9,40.625,0.1875,0.5,27.9152382957
2024-08-15,09:45:00,0.9,33.1875,0.09375,23.0,28.8993911587
2024-08-15,10:00:00,0.9,30.6875,0.21875,1.0,29.3305337352
2024-08-15,10:15:00,0.9,43.0,0.1875,0.21875,30.3896172028
2024-08-15,10:30:00,0.9,44.5,0.09375,10.59375,31.7214685097
2024-08-15,10:45:00,0.9,31.375,0.21875,17.78125,33.1988130189
2024-08-15,11:00:00,0.9,42.9375,0.1875,0.125,34.188293641
2024-08-15,11:15:00,0.9,46.1875,0.09375,11.28125,35.2490704044
2024-08-15,11:30:00,0.9,33.8125,0.21875,20.3125,36.3950571869
2024-08-15,11:45:00,0.9,45.5625,0.1875,1.40625,36.8509557991
2024-08-15,12:00:00,0.9,38.75,0.09375,30.1875,39.075060375
2024-08-15,12:15:00,0.9,47.1875,0.21875,0.1875,38.4017160312
2024-08-15,12:30:00,0.9,53.5625,0.1875,10.625,39.6760874564
2024-08-15,12:45:00,0.9,40.5,0.09375,27.59375,41.9768589895
2024-08-15,13:00:00,0.9,50.8125,0.21875,7.28125,41.1467816344
2024-08-15,13:15:00,0.9,36.0,0.1875,25.125,38.263594969
2024-08-15,13:30:00,0.9,38.0,0.21875,0.1875,34.163188901
2024-08-15,13:45:00,0.9,44.625,0.09375,0.1875,34.1867049489
2024-08-15,14:00:00,0.9,42.5625,0.1875,0.125,32.5627149006
2024-08-15,14:15:00,0.9,44.5,0.21875,0.1875,32.0502863726
2024-08-15,14:30:00,0.9,42.625,0.09375,0.09375,27.5622250419
2024-08-15,14:45:00,0.9,37.6875,0.1875,0.21875,29.2055822362
2024-08-15,15:00:00,0.9,35.3125,0.21875,0.09375,29.1499721562
2024-08-15,15:15:00,0.9,35.0,0.09375,0.1875,29.3066423064
